feature,importance
total_xg,301.06469307245123
away_xg_pre,209.04665975670733
xg_diff,207.71726144198723
home_xg_pre,158.0446280038876
minute,143.0380463308881
time_remaining,81.37759051171028
total_goals_so_far,71.69023351148796
away_pressure,68.35573776740135
home_pressure,58.35191649485037
goal_difference,33.35484661806519
away_score,26.351304716088155
home_score,24.68503011292373
momentum_diff,18.351549473768618
mid_game,17.67992006770764
momentum_intensity,17.013204623204953
away_recent_momentum,13.015285096344611
home_recent_momentum,12.346527473021998
home_red_card,10.347563119753973
is_draw,6.345182701676083
away_red_card,4.681431392994274
home_leading,2.0092575482992956
away_leading,1.6742883260080517
early_game,1.6740262307594804
injury_time_risk,1.4382838675842422
late_game,0.3455317404282147
